@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
244,425,13,5,231,0.021186,0.97032,0.988372,0.97032,0.011628,0.979263,0.637982,1.52092,0.476143
245,425,13,4,232,0.016949,0.97032,0.990676,0.97032,0.009324,0.980392,0.636499,1.524465,0.520224
246,424,14,4,232,0.016949,0.968037,0.990654,0.968037,0.009346,0.979215,0.635015,1.524431,0.580096
247,423,15,4,232,0.016949,0.965753,0.990632,0.965753,0.009368,0.978035,0.633531,1.524398,0.594569
248,422,16,4,232,0.016949,0.96347,0.99061,0.96347,0.00939,0.976852,0.632047,1.524364,0.595478
249,422,16,3,233,0.012712,0.96347,0.992941,0.96347,0.007059,0.977984,0.630564,1.527951,0.640373
250,421,17,3,233,0.012712,0.961187,0.992925,0.961187,0.007075,0.976798,0.62908,1.527925,0.70444
251,420,18,3,233,0.012712,0.958904,0.992908,0.958904,0.007092,0.97561,0.627596,1.527899,0.707318
252,420,18,2,234,0.008475,0.958904,0.995261,0.958904,0.004739,0.976744,0.626113,1.53152,0.712007
253,419,19,2,234,0.008475,0.956621,0.995249,0.956621,0.004751,0.975553,0.624629,1.531503,0.721279
254,418,20,2,234,0.008475,0.954338,0.995238,0.954338,0.004762,0.974359,0.623145,1.531485,0.736092
255,417,21,2,234,0.008475,0.952055,0.995227,0.952055,0.004773,0.973162,0.621662,1.531468,0.750628
256,416,22,2,234,0.008475,0.949772,0.995215,0.949772,0.004785,0.971963,0.620178,1.53145,0.757783
257,415,23,2,234,0.008475,0.947489,0.995204,0.947489,0.004796,0.97076,0.618694,1.531432,0.789702
258,414,24,2,234,0.008475,0.945205,0.995192,0.945205,0.004808,0.969555,0.617211,1.531415,0.791934
259,413,25,2,234,0.008475,0.942922,0.995181,0.942922,0.004819,0.968347,0.615727,1.531397,0.805067
260,412,26,2,234,0.008475,0.940639,0.995169,0.940639,0.004831,0.967136,0.614243,1.531379,0.805812
261,411,27,2,234,0.008475,0.938356,0.995157,0.938356,0.004843,0.965922,0.61276,1.531361,0.806836
262,411,27,1,235,0.004237,0.938356,0.997573,0.938356,0.002427,0.967059,0.611276,1.535078,0.823007
263,410,28,1,235,0.004237,0.936073,0.997567,0.936073,0.002433,0.965842,0.609792,1.535069,0.82331
264,410,28,0,236,0,0.936073,1,0.936073,0,0.966981,0.608309,1.538813,0.825303
265,409,29,0,236,0,0.93379,1,0.93379,0,0.965762,0.606825,1.538813,0.832663
266,408,30,0,236,0,0.931507,1,0.931507,0,0.964539,0.605341,1.538813,0.833654
267,407,31,0,236,0,0.929224,1,0.929224,0,0.963314,0.603858,1.538813,0.847681
268,406,32,0,236,0,0.926941,1,0.926941,0,0.962085,0.602374,1.538813,0.870247
269,405,33,0,236,0,0.924658,1,0.924658,0,0.960854,0.60089,1.538813,0.872229
270,404,34,0,236,0,0.922374,1,0.922374,0,0.95962,0.599407,1.538813,0.876451
271,403,35,0,236,0,0.920091,1,0.920091,0,0.958383,0.597923,1.538813,0.882321
272,402,36,0,236,0,0.917808,1,0.917808,0,0.957143,0.596439,1.538813,0.883344
273,401,37,0,236,0,0.915525,1,0.915525,0,0.9559,0.594955,1.538813,0.885098
274,400,38,0,236,0,0.913242,1,0.913242,0,0.954654,0.593472,1.538813,0.889513
275,399,39,0,236,0,0.910959,1,0.910959,0,0.953405,0.591988,1.538813,0.894975
276,398,40,0,236,0,0.908676,1,0.908676,0,0.952153,0.590504,1.538813,0.895573
277,397,41,0,236,0,0.906393,1,0.906393,0,0.950898,0.589021,1.538813,0.903141
278,396,42,0,236,0,0.90411,1,0.90411,0,0.94964,0.587537,1.538813,0.906869
279,395,43,0,236,0,0.901826,1,0.901826,0,0.948379,0.586053,1.538813,0.908998
280,394,44,0,236,0,0.899543,1,0.899543,0,0.947115,0.58457,1.538813,0.912221
281,393,45,0,236,0,0.89726,1,0.89726,0,0.945848,0.583086,1.538813,0.915808
282,392,46,0,236,0,0.894977,1,0.894977,0,0.944578,0.581602,1.538813,0.916489
283,391,47,0,236,0,0.892694,1,0.892694,0,0.943305,0.580119,1.538813,0.917597
284,390,48,0,236,0,0.890411,1,0.890411,0,0.942029,0.578635,1.538813,0.918294
285,389,49,0,236,0,0.888128,1,0.888128,0,0.94075,0.577151,1.538813,0.91994
286,388,50,0,236,0,0.885845,1,0.885845,0,0.939467,0.575668,1.538813,0.925157
287,387,51,0,236,0,0.883562,1,0.883562,0,0.938182,0.574184,1.538813,0.926583
288,386,52,0,236,0,0.881279,1,0.881279,0,0.936893,0.5727,1.538813,0.926817
289,385,53,0,236,0,0.878995,1,0.878995,0,0.935601,0.571217,1.538813,0.929119
290,384,54,0,236,0,0.876712,1,0.876712,0,0.934307,0.569733,1.538813,0.93413
291,383,55,0,236,0,0.874429,1,0.874429,0,0.933009,0.568249,1.538813,0.934602
292,382,56,0,236,0,0.872146,1,0.872146,0,0.931707,0.566766,1.538813,0.934929
293,381,57,0,236,0,0.869863,1,0.869863,0,0.930403,0.565282,1.538813,0.935747
294,380,58,0,236,0,0.86758,1,0.86758,0,0.929095,0.563798,1.538813,0.936608
295,379,59,0,236,0,0.865297,1,0.865297,0,0.927785,0.562315,1.538813,0.936952
296,378,60,0,236,0,0.863014,1,0.863014,0,0.926471,0.560831,1.538813,0.938258
297,377,61,0,236,0,0.860731,1,0.860731,0,0.925153,0.559347,1.538813,0.941511
298,376,62,0,236,0,0.858447,1,0.858447,0,0.923833,0.557864,1.538813,0.942152
299,375,63,0,236,0,0.856164,1,0.856164,0,0.922509,0.55638,1.538813,0.942935
300,374,64,0,236,0,0.853881,1,0.853881,0,0.921182,0.554896,1.538813,0.943637
301,373,65,0,236,0,0.851598,1,0.851598,0,0.919852,0.553412,1.538813,0.94714
302,372,66,0,236,0,0.849315,1,0.849315,0,0.918519,0.551929,1.538813,0.947883
303,371,67,0,236,0,0.847032,1,0.847032,0,0.917182,0.550445,1.538813,0.948059
304,370,68,0,236,0,0.844749,1,0.844749,0,0.915842,0.548961,1.538813,0.948284
305,369,69,0,236,0,0.842466,1,0.842466,0,0.914498,0.547478,1.538813,0.948313
306,368,70,0,236,0,0.840183,1,0.840183,0,0.913151,0.545994,1.538813,0.950507
307,367,71,0,236,0,0.8379,1,0.8379,0,0.911801,0.54451,1.538813,0.951479
308,366,72,0,236,0,0.835616,1,0.835616,0,0.910448,0.543027,1.538813,0.951773
309,365,73,0,236,0,0.833333,1,0.833333,0,0.909091,0.541543,1.538813,0.952449
310,364,74,0,236,0,0.83105,1,0.83105,0,0.907731,0.540059,1.538813,0.952482
311,363,75,0,236,0,0.828767,1,0.828767,0,0.906367,0.538576,1.538813,0.952626
312,362,76,0,236,0,0.826484,1,0.826484,0,0.905,0.537092,1.538813,0.953238
313,361,77,0,236,0,0.824201,1,0.824201,0,0.90363,0.535608,1.538813,0.953609
314,360,78,0,236,0,0.821918,1,0.821918,0,0.902256,0.534125,1.538813,0.954097
315,359,79,0,236,0,0.819635,1,0.819635,0,0.900878,0.532641,1.538813,0.954256
316,357,81,0,236,0,0.815068,1,0.815068,0,0.898113,0.529674,1.538813,0.955762
317,356,82,0,236,0,0.812785,1,0.812785,0,0.896725,0.52819,1.538813,0.95582
318,355,83,0,236,0,0.810502,1,0.810502,0,0.895334,0.526706,1.538813,0.955941
319,354,84,0,236,0,0.808219,1,0.808219,0,0.893939,0.525223,1.538813,0.956006
320,353,85,0,236,0,0.805936,1,0.805936,0,0.892541,0.523739,1.538813,0.956104
321,352,86,0,236,0,0.803653,1,0.803653,0,0.891139,0.522255,1.538813,0.960277
322,351,87,0,236,0,0.80137,1,0.80137,0,0.889734,0.520772,1.538813,0.961027
323,350,88,0,236,0,0.799087,1,0.799087,0,0.888325,0.519288,1.538813,0.961466
324,349,89,0,236,0,0.796804,1,0.796804,0,0.886912,0.517804,1.538813,0.962363
325,348,90,0,236,0,0.794521,1,0.794521,0,0.885496,0.51632,1.538813,0.962448
326,347,91,0,236,0,0.792237,1,0.792237,0,0.884076,0.514837,1.538813,0.962565
327,346,92,0,236,0,0.789954,1,0.789954,0,0.882653,0.513353,1.538813,0.963099
328,345,93,0,236,0,0.787671,1,0.787671,0,0.881226,0.511869,1.538813,0.963161
329,344,94,0,236,0,0.785388,1,0.785388,0,0.879795,0.510386,1.538813,0.964447
330,343,95,0,236,0,0.783105,1,0.783105,0,0.878361,0.508902,1.538813,0.965221
331,342,96,0,236,0,0.780822,1,0.780822,0,0.876923,0.507418,1.538813,0.965255
332,341,97,0,236,0,0.778539,1,0.778539,0,0.875481,0.505935,1.538813,0.965344
333,340,98,0,236,0,0.776256,1,0.776256,0,0.874036,0.504451,1.538813,0.96568
334,339,99,0,236,0,0.773973,1,0.773973,0,0.872587,0.502967,1.538813,0.965823
335,337,101,0,236,0,0.769406,1,0.769406,0,0.869677,0.5,1.538813,0.966164
336,336,102,0,236,0,0.767123,1,0.767123,0,0.868217,0.498516,1.538813,0.966314
337,334,104,0,236,0,0.762557,1,0.762557,0,0.865285,0.495549,1.538813,0.966402
338,333,105,0,236,0,0.760274,1,0.760274,0,0.863813,0.494065,1.538813,0.967047
339,332,106,0,236,0,0.757991,1,0.757991,0,0.862338,0.492582,1.538813,0.967773
340,331,107,0,236,0,0.755708,1,0.755708,0,0.860858,0.491098,1.538813,0.967883
341,330,108,0,236,0,0.753425,1,0.753425,0,0.859375,0.489614,1.538813,0.968254
342,329,109,0,236,0,0.751142,1,0.751142,0,0.857888,0.488131,1.538813,0.968392
343,328,110,0,236,0,0.748858,1,0.748858,0,0.856397,0.486647,1.538813,0.968528
344,327,111,0,236,0,0.746575,1,0.746575,0,0.854902,0.485163,1.538813,0.969284
345,326,112,0,236,0,0.744292,1,0.744292,0,0.853403,0.48368,1.538813,0.970032
346,325,113,0,236,0,0.742009,1,0.742009,0,0.8519,0.482196,1.538813,0.970817
347,324,114,0,236,0,0.739726,1,0.739726,0,0.850394,0.480712,1.538813,0.971002
348,323,115,0,236,0,0.737443,1,0.737443,0,0.848883,0.479228,1.538813,0.97122
349,321,117,0,236,0,0.732877,1,0.732877,0,0.84585,0.476261,1.538813,0.971869
350,320,118,0,236,0,0.730594,1,0.730594,0,0.844327,0.474777,1.538813,0.972486
351,319,119,0,236,0,0.728311,1,0.728311,0,0.842801,0.473294,1.538813,0.973048
352,317,121,0,236,0,0.723744,1,0.723744,0,0.839735,0.470326,1.538813,0.973321
353,316,122,0,236,0,0.721461,1,0.721461,0,0.838196,0.468843,1.538813,0.973546
354,315,123,0,236,0,0.719178,1,0.719178,0,0.836653,0.467359,1.538813,0.973632
355,312,126,0,236,0,0.712329,1,0.712329,0,0.832,0.462908,1.538813,0.97392
356,311,127,0,236,0,0.710046,1,0.710046,0,0.830441,0.461424,1.538813,0.974251
357,310,128,0,236,0,0.707763,1,0.707763,0,0.828877,0.459941,1.538813,0.974581
358,309,129,0,236,0,0.705479,1,0.705479,0,0.827309,0.458457,1.538813,0.975748
359,308,130,0,236,0,0.703196,1,0.703196,0,0.825737,0.456973,1.538813,0.975817
360,307,131,0,236,0,0.700913,1,0.700913,0,0.824161,0.45549,1.538813,0.975953
361,306,132,0,236,0,0.69863,1,0.69863,0,0.822581,0.454006,1.538813,0.976036
362,303,135,0,236,0,0.691781,1,0.691781,0,0.817814,0.449555,1.538813,0.976292
363,301,137,0,236,0,0.687215,1,0.687215,0,0.814614,0.446588,1.538813,0.976422
364,299,139,0,236,0,0.682648,1,0.682648,0,0.811398,0.44362,1.538813,0.976712
365,298,140,0,236,0,0.680365,1,0.680365,0,0.809783,0.442136,1.538813,0.976927
366,297,141,0,236,0,0.678082,1,0.678082,0,0.808163,0.440653,1.538813,0.977592
367,296,142,0,236,0,0.675799,1,0.675799,0,0.80654,0.439169,1.538813,0.97763
368,295,143,0,236,0,0.673516,1,0.673516,0,0.804911,0.437685,1.538813,0.97772
369,293,145,0,236,0,0.66895,1,0.66895,0,0.801642,0.434718,1.538813,0.978034
370,289,149,0,236,0,0.659817,1,0.659817,0,0.795048,0.428783,1.538813,0.978203
371,287,151,0,236,0,0.655251,1,0.655251,0,0.791724,0.425816,1.538813,0.978639
372,286,152,0,236,0,0.652968,1,0.652968,0,0.790055,0.424332,1.538813,0.978645
373,285,153,0,236,0,0.650685,1,0.650685,0,0.788382,0.422849,1.538813,0.978696
374,284,154,0,236,0,0.648402,1,0.648402,0,0.786704,0.421365,1.538813,0.979773
375,283,155,0,236,0,0.646119,1,0.646119,0,0.785021,0.419881,1.538813,0.979938
376,282,156,0,236,0,0.643836,1,0.643836,0,0.783333,0.418398,1.538813,0.98016
377,281,157,0,236,0,0.641553,1,0.641553,0,0.781641,0.416914,1.538813,0.98026
378,280,158,0,236,0,0.639269,1,0.639269,0,0.779944,0.41543,1.538813,0.980286
379,278,160,0,236,0,0.634703,1,0.634703,0,0.776536,0.412463,1.538813,0.981452
380,277,161,0,236,0,0.63242,1,0.63242,0,0.774825,0.410979,1.538813,0.982012
381,276,162,0,236,0,0.630137,1,0.630137,0,0.773109,0.409496,1.538813,0.982472
382,274,164,0,236,0,0.625571,1,0.625571,0,0.769663,0.406528,1.538813,0.982752
383,273,165,0,236,0,0.623288,1,0.623288,0,0.767932,0.405045,1.538813,0.982809
384,272,166,0,236,0,0.621005,1,0.621005,0,0.766197,0.403561,1.538813,0.983234
385,270,168,0,236,0,0.616438,1,0.616438,0,0.762712,0.400593,1.538813,0.983714
386,269,169,0,236,0,0.614155,1,0.614155,0,0.760962,0.39911,1.538813,0.983903
387,268,170,0,236,0,0.611872,1,0.611872,0,0.759207,0.397626,1.538813,0.984457
388,266,172,0,236,0,0.607306,1,0.607306,0,0.755682,0.394659,1.538813,0.984581
389,265,173,0,236,0,0.605023,1,0.605023,0,0.753912,0.393175,1.538813,0.984629
390,263,175,0,236,0,0.600457,1,0.600457,0,0.750357,0.390208,1.538813,0.985117
391,261,177,0,236,0,0.59589,1,0.59589,0,0.746781,0.38724,1.538813,0.985909
392,260,178,0,236,0,0.593607,1,0.593607,0,0.744986,0.385757,1.538813,0.985946
393,259,179,0,236,0,0.591324,1,0.591324,0,0.743185,0.384273,1.538813,0.985953
394,258,180,0,236,0,0.589041,1,0.589041,0,0.741379,0.382789,1.538813,0.985987
395,256,182,0,236,0,0.584475,1,0.584475,0,0.737752,0.379822,1.538813,0.986045
396,255,183,0,236,0,0.582192,1,0.582192,0,0.735931,0.378338,1.538813,0.986106
397,254,184,0,236,0,0.579909,1,0.579909,0,0.734104,0.376855,1.538813,0.98611
398,251,187,0,236,0,0.573059,1,0.573059,0,0.728592,0.372404,1.538813,0.986119
399,250,188,0,236,0,0.570776,1,0.570776,0,0.726744,0.37092,1.538813,0.986837
400,249,189,0,236,0,0.568493,1,0.568493,0,0.724891,0.369436,1.538813,0.987071
401,248,190,0,236,0,0.56621,1,0.56621,0,0.723032,0.367953,1.538813,0.987111
402,247,191,0,236,0,0.563927,1,0.563927,0,0.721168,0.366469,1.538813,0.987128
403,246,192,0,236,0,0.561644,1,0.561644,0,0.719298,0.364985,1.538813,0.987204
404,245,193,0,236,0,0.559361,1,0.559361,0,0.717423,0.363501,1.538813,0.987224
405,244,194,0,236,0,0.557078,1,0.557078,0,0.715543,0.362018,1.538813,0.987368
406,243,195,0,236,0,0.554795,1,0.554795,0,0.713656,0.360534,1.538813,0.988273
407,241,197,0,236,0,0.550228,1,0.550228,0,0.709867,0.357567,1.538813,0.988394
408,240,198,0,236,0,0.547945,1,0.547945,0,0.707965,0.356083,1.538813,0.988505
409,239,199,0,236,0,0.545662,1,0.545662,0,0.706056,0.354599,1.538813,0.988776
410,238,200,0,236,0,0.543379,1,0.543379,0,0.704142,0.353116,1.538813,0.989074
411,236,202,0,236,0,0.538813,1,0.538813,0,0.700297,0.350148,1.538813,0.989092
412,235,203,0,236,0,0.53653,1,0.53653,0,0.698366,0.348665,1.538813,0.989109
413,234,204,0,236,0,0.534247,1,0.534247,0,0.696429,0.347181,1.538813,0.989139
414,233,205,0,236,0,0.531963,1,0.531963,0,0.694486,0.345697,1.538813,0.989327
415,232,206,0,236,0,0.52968,1,0.52968,0,0.692537,0.344214,1.538813,0.989377
416,231,207,0,236,0,0.527397,1,0.527397,0,0.690583,0.34273,1.538813,0.989624
417,230,208,0,236,0,0.525114,1,0.525114,0,0.688623,0.341246,1.538813,0.989851
418,229,209,0,236,0,0.522831,1,0.522831,0,0.686657,0.339763,1.538813,0.990049
419,228,210,0,236,0,0.520548,1,0.520548,0,0.684685,0.338279,1.538813,0.990214
420,227,211,0,236,0,0.518265,1,0.518265,0,0.682707,0.336795,1.538813,0.990248
421,226,212,0,236,0,0.515982,1,0.515982,0,0.680723,0.335312,1.538813,0.99042
422,224,214,0,236,0,0.511416,1,0.511416,0,0.676737,0.332344,1.538813,0.990442
423,222,216,0,236,0,0.506849,1,0.506849,0,0.672727,0.329377,1.538813,0.990625
424,217,221,0,236,0,0.495434,1,0.495434,0,0.662595,0.321958,1.538813,0.990914
425,216,222,0,236,0,0.493151,1,0.493151,0,0.66055,0.320475,1.538813,0.99093
426,215,223,0,236,0,0.490868,1,0.490868,0,0.658499,0.318991,1.538813,0.991022
427,214,224,0,236,0,0.488584,1,0.488584,0,0.656442,0.317507,1.538813,0.991032
428,213,225,0,236,0,0.486301,1,0.486301,0,0.654378,0.316024,1.538813,0.991035
429,212,226,0,236,0,0.484018,1,0.484018,0,0.652308,0.31454,1.538813,0.991163
430,211,227,0,236,0,0.481735,1,0.481735,0,0.650231,0.313056,1.538813,0.991208
431,210,228,0,236,0,0.479452,1,0.479452,0,0.648148,0.311573,1.538813,0.991278
432,209,229,0,236,0,0.477169,1,0.477169,0,0.646059,0.310089,1.538813,0.991368
433,208,230,0,236,0,0.474886,1,0.474886,0,0.643963,0.308605,1.538813,0.991421
434,207,231,0,236,0,0.472603,1,0.472603,0,0.64186,0.307122,1.538813,0.991493
435,206,232,0,236,0,0.47032,1,0.47032,0,0.639752,0.305638,1.538813,0.991531
436,205,233,0,236,0,0.468037,1,0.468037,0,0.637636,0.304154,1.538813,0.991591
437,203,235,0,236,0,0.46347,1,0.46347,0,0.633385,0.301187,1.538813,0.991751
438,202,236,0,236,0,0.461187,1,0.461187,0,0.63125,0.299703,1.538813,0.991843
439,198,240,0,236,0,0.452055,1,0.452055,0,0.622642,0.293769,1.538813,0.992024
440,197,241,0,236,0,0.449772,1,0.449772,0,0.620472,0.292285,1.538813,0.992189
441,195,243,0,236,0,0.445205,1,0.445205,0,0.616114,0.289318,1.538813,0.992333
442,194,244,0,236,0,0.442922,1,0.442922,0,0.613924,0.287834,1.538813,0.992399
443,193,245,0,236,0,0.440639,1,0.440639,0,0.611727,0.28635,1.538813,0.992416
444,191,247,0,236,0,0.436073,1,0.436073,0,0.607313,0.283383,1.538813,0.992517
445,190,248,0,236,0,0.43379,1,0.43379,0,0.605096,0.281899,1.538813,0.992551
446,189,249,0,236,0,0.431507,1,0.431507,0,0.602871,0.280415,1.538813,0.992603
447,188,250,0,236,0,0.429224,1,0.429224,0,0.600639,0.278932,1.538813,0.992686
448,185,253,0,236,0,0.422374,1,0.422374,0,0.5939,0.274481,1.538813,0.992749
449,184,254,0,236,0,0.420091,1,0.420091,0,0.59164,0.272997,1.538813,0.992842
450,183,255,0,236,0,0.417808,1,0.417808,0,0.589372,0.271513,1.538813,0.99304
451,182,256,0,236,0,0.415525,1,0.415525,0,0.587097,0.27003,1.538813,0.993047
452,180,258,0,236,0,0.410959,1,0.410959,0,0.582524,0.267062,1.538813,0.993065
453,179,259,0,236,0,0.408676,1,0.408676,0,0.580227,0.265579,1.538813,0.993311
454,178,260,0,236,0,0.406393,1,0.406393,0,0.577922,0.264095,1.538813,0.993318
455,177,261,0,236,0,0.40411,1,0.40411,0,0.57561,0.262611,1.538813,0.993377
456,176,262,0,236,0,0.401826,1,0.401826,0,0.57329,0.261128,1.538813,0.993492
457,175,263,0,236,0,0.399543,1,0.399543,0,0.570962,0.259644,1.538813,0.993532
458,174,264,0,236,0,0.39726,1,0.39726,0,0.568627,0.25816,1.538813,0.993726
459,173,265,0,236,0,0.394977,1,0.394977,0,0.566285,0.256677,1.538813,0.993898
460,171,267,0,236,0,0.390411,1,0.390411,0,0.561576,0.253709,1.538813,0.994035
461,169,269,0,236,0,0.385845,1,0.385845,0,0.556837,0.250742,1.538813,0.99404
462,168,270,0,236,0,0.383562,1,0.383562,0,0.554455,0.249258,1.538813,0.994158
463,167,271,0,236,0,0.381279,1,0.381279,0,0.552066,0.247774,1.538813,0.994185
464,166,272,0,236,0,0.378995,1,0.378995,0,0.549669,0.246291,1.538813,0.994203
465,165,273,0,236,0,0.376712,1,0.376712,0,0.547264,0.244807,1.538813,0.994251
466,164,274,0,236,0,0.374429,1,0.374429,0,0.54485,0.243323,1.538813,0.994359
467,163,275,0,236,0,0.372146,1,0.372146,0,0.542429,0.24184,1.538813,0.994374
468,162,276,0,236,0,0.369863,1,0.369863,0,0.54,0.240356,1.538813,0.994405
469,161,277,0,236,0,0.36758,1,0.36758,0,0.537563,0.238872,1.538813,0.994428
470,160,278,0,236,0,0.365297,1,0.365297,0,0.535117,0.237389,1.538813,0.994431
471,158,280,0,236,0,0.360731,1,0.360731,0,0.530201,0.234421,1.538813,0.994434
472,157,281,0,236,0,0.358447,1,0.358447,0,0.527731,0.232938,1.538813,0.994446
473,156,282,0,236,0,0.356164,1,0.356164,0,0.525253,0.231454,1.538813,0.994689
474,155,283,0,236,0,0.353881,1,0.353881,0,0.522766,0.22997,1.538813,0.994702
475,154,284,0,236,0,0.351598,1,0.351598,0,0.52027,0.228487,1.538813,0.994954
476,153,285,0,236,0,0.349315,1,0.349315,0,0.517766,0.227003,1.538813,0.994968
477,151,287,0,236,0,0.344749,1,0.344749,0,0.512733,0.224036,1.538813,0.995081
478,148,290,0,236,0,0.3379,1,0.3379,0,0.505119,0.219585,1.538813,0.995358
479,147,291,0,236,0,0.335616,1,0.335616,0,0.502564,0.218101,1.538813,0.995408
480,146,292,0,236,0,0.333333,1,0.333333,0,0.5,0.216617,1.538813,0.995548
481,145,293,0,236,0,0.33105,1,0.33105,0,0.497427,0.215134,1.538813,0.995549
482,144,294,0,236,0,0.328767,1,0.328767,0,0.494845,0.21365,1.538813,0.995633
483,141,297,0,236,0,0.321918,1,0.321918,0,0.487047,0.209199,1.538813,0.995673
484,140,298,0,236,0,0.319635,1,0.319635,0,0.484429,0.207715,1.538813,0.99583
485,139,299,0,236,0,0.317352,1,0.317352,0,0.481802,0.206231,1.538813,0.995908
486,138,300,0,236,0,0.315068,1,0.315068,0,0.479167,0.204748,1.538813,0.995915
487,136,302,0,236,0,0.310502,1,0.310502,0,0.473868,0.20178,1.538813,0.995922
488,134,304,0,236,0,0.305936,1,0.305936,0,0.468531,0.198813,1.538813,0.995941
489,133,305,0,236,0,0.303653,1,0.303653,0,0.465849,0.197329,1.538813,0.995979
490,132,306,0,236,0,0.30137,1,0.30137,0,0.463158,0.195846,1.538813,0.99599
491,130,308,0,236,0,0.296804,1,0.296804,0,0.457746,0.192878,1.538813,0.996032
492,129,309,0,236,0,0.294521,1,0.294521,0,0.455026,0.191395,1.538813,0.996056
493,128,310,0,236,0,0.292237,1,0.292237,0,0.452297,0.189911,1.538813,0.996093
494,127,311,0,236,0,0.289954,1,0.289954,0,0.449558,0.188427,1.538813,0.996119
495,126,312,0,236,0,0.287671,1,0.287671,0,0.446809,0.186944,1.538813,0.996204
496,125,313,0,236,0,0.285388,1,0.285388,0,0.44405,0.18546,1.538813,0.996239
497,123,315,0,236,0,0.280822,1,0.280822,0,0.438503,0.182493,1.538813,0.996321
498,121,317,0,236,0,0.276256,1,0.276256,0,0.432916,0.179525,1.538813,0.996341
499,113,325,0,236,0,0.257991,1,0.257991,0,0.410163,0.167656,1.538813,0.99637
500,112,326,0,236,0,0.255708,1,0.255708,0,0.407273,0.166172,1.538813,0.996395
501,111,327,0,236,0,0.253425,1,0.253425,0,0.404372,0.164688,1.538813,0.996538
502,109,329,0,236,0,0.248858,1,0.248858,0,0.398537,0.161721,1.538813,0.996571
503,105,333,0,236,0,0.239726,1,0.239726,0,0.38674,0.155786,1.538813,0.996628
504,104,334,0,236,0,0.237443,1,0.237443,0,0.383764,0.154303,1.538813,0.996642
505,103,335,0,236,0,0.23516,1,0.23516,0,0.380776,0.152819,1.538813,0.996657
506,102,336,0,236,0,0.232877,1,0.232877,0,0.377778,0.151335,1.538813,0.996679
507,101,337,0,236,0,0.230594,1,0.230594,0,0.374768,0.149852,1.538813,0.99669
508,100,338,0,236,0,0.228311,1,0.228311,0,0.371747,0.148368,1.538813,0.996732
509,96,342,0,236,0,0.219178,1,0.219178,0,0.359551,0.142433,1.538813,0.996811
510,95,343,0,236,0,0.216895,1,0.216895,0,0.356473,0.14095,1.538813,0.996843
511,92,346,0,236,0,0.210046,1,0.210046,0,0.34717,0.136499,1.538813,0.996844
512,91,347,0,236,0,0.207763,1,0.207763,0,0.344045,0.135015,1.538813,0.996861
513,90,348,0,236,0,0.205479,1,0.205479,0,0.340909,0.133531,1.538813,0.997017
514,89,349,0,236,0,0.203196,1,0.203196,0,0.337761,0.132047,1.538813,0.99709
515,88,350,0,236,0,0.200913,1,0.200913,0,0.334601,0.130564,1.538813,0.997102
516,87,351,0,236,0,0.19863,1,0.19863,0,0.331429,0.12908,1.538813,0.997104
517,84,354,0,236,0,0.191781,1,0.191781,0,0.321839,0.124629,1.538813,0.997143
518,81,357,0,236,0,0.184932,1,0.184932,0,0.312139,0.120178,1.538813,0.997237
519,79,359,0,236,0,0.180365,1,0.180365,0,0.305609,0.117211,1.538813,0.997299
520,78,360,0,236,0,0.178082,1,0.178082,0,0.302326,0.115727,1.538813,0.997334
521,77,361,0,236,0,0.175799,1,0.175799,0,0.299029,0.114243,1.538813,0.997482
522,75,363,0,236,0,0.171233,1,0.171233,0,0.292398,0.111276,1.538813,0.997506
523,72,366,0,236,0,0.164384,1,0.164384,0,0.282353,0.106825,1.538813,0.997526
524,71,367,0,236,0,0.1621,1,0.1621,0,0.278978,0.105341,1.538813,0.997564
525,70,368,0,236,0,0.159817,1,0.159817,0,0.275591,0.103858,1.538813,0.997606
526,67,371,0,236,0,0.152968,1,0.152968,0,0.265347,0.099407,1.538813,0.997619
527,66,372,0,236,0,0.150685,1,0.150685,0,0.261905,0.097923,1.538813,0.997658
528,65,373,0,236,0,0.148402,1,0.148402,0,0.258449,0.096439,1.538813,0.997687
529,64,374,0,236,0,0.146119,1,0.146119,0,0.25498,0.094955,1.538813,0.997693
530,63,375,0,236,0,0.143836,1,0.143836,0,0.251497,0.093472,1.538813,0.997723
531,62,376,0,236,0,0.141553,1,0.141553,0,0.248,0.091988,1.538813,0.997795
532,59,379,0,236,0,0.134703,1,0.134703,0,0.237425,0.087537,1.538813,0.997805
533,57,381,0,236,0,0.130137,1,0.130137,0,0.230303,0.08457,1.538813,0.997867
534,55,383,0,236,0,0.125571,1,0.125571,0,0.223124,0.081602,1.538813,0.997967
535,54,384,0,236,0,0.123288,1,0.123288,0,0.219512,0.080119,1.538813,0.998202
536,53,385,0,236,0,0.121005,1,0.121005,0,0.215886,0.078635,1.538813,0.998312
537,50,388,0,236,0,0.114155,1,0.114155,0,0.204918,0.074184,1.538813,0.998325
538,48,390,0,236,0,0.109589,1,0.109589,0,0.197531,0.071217,1.538813,0.998358
