@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,438,0,174,62,0.737288,1,0.715686,1,0.284314,0.834286,0.908012,1.101307,0.00001
63,438,0,173,63,0.733051,1,0.716858,1,0.283142,0.835081,0.906528,1.10311,0.00001
64,438,0,172,64,0.728814,1,0.718033,1,0.281967,0.835878,0.905045,1.104918,0.000011
65,438,0,171,65,0.724576,1,0.719212,1,0.280788,0.836676,0.903561,1.106732,0.000011
66,438,0,170,66,0.720339,1,0.720395,1,0.279605,0.837476,0.902077,1.108553,0.000012
67,438,0,169,67,0.716102,1,0.721582,1,0.278418,0.838278,0.900593,1.110379,0.000013
68,438,0,168,68,0.711864,1,0.722772,1,0.277228,0.83908,0.89911,1.112211,0.000013
69,438,0,167,69,0.707627,1,0.723967,1,0.276033,0.839885,0.897626,1.11405,0.000014
70,438,0,166,70,0.70339,1,0.725166,1,0.274834,0.840691,0.896142,1.115894,0.000015
71,438,0,165,71,0.699153,1,0.726368,1,0.273632,0.841499,0.894659,1.117745,0.000015
72,438,0,164,72,0.694915,1,0.727575,1,0.272425,0.842308,0.893175,1.119601,0.000016
73,438,0,163,73,0.690678,1,0.728785,1,0.271215,0.843118,0.891691,1.121464,0.000016
74,438,0,162,74,0.686441,1,0.73,1,0.27,0.843931,0.890208,1.123333,0.000016
75,438,0,161,75,0.682203,1,0.731219,1,0.268781,0.844744,0.888724,1.125209,0.000018
76,438,0,160,76,0.677966,1,0.732441,1,0.267559,0.84556,0.88724,1.12709,0.00002
77,438,0,159,77,0.673729,1,0.733668,1,0.266332,0.846377,0.885757,1.128978,0.000021
78,438,0,158,78,0.669492,1,0.734899,1,0.265101,0.847195,0.884273,1.130872,0.000021
79,438,0,157,79,0.665254,1,0.736134,1,0.263866,0.848015,0.882789,1.132773,0.000023
80,438,0,156,80,0.661017,1,0.737374,1,0.262626,0.848837,0.881306,1.13468,0.000024
81,438,0,155,81,0.65678,1,0.738617,1,0.261383,0.849661,0.879822,1.136594,0.000024
82,438,0,154,82,0.652542,1,0.739865,1,0.260135,0.850485,0.878338,1.138514,0.000025
83,438,0,153,83,0.648305,1,0.741117,1,0.258883,0.851312,0.876855,1.14044,0.00003
84,438,0,152,84,0.644068,1,0.742373,1,0.257627,0.85214,0.875371,1.142373,0.000033
85,438,0,151,85,0.639831,1,0.743633,1,0.256367,0.85297,0.873887,1.144312,0.000033
86,438,0,150,86,0.635593,1,0.744898,1,0.255102,0.853801,0.872404,1.146259,0.000033
87,438,0,149,87,0.631356,1,0.746167,1,0.253833,0.854634,0.87092,1.148211,0.000035
88,438,0,148,88,0.627119,1,0.74744,1,0.25256,0.855469,0.869436,1.150171,0.000036
89,438,0,147,89,0.622881,1,0.748718,1,0.251282,0.856305,0.867953,1.152137,0.000037
90,438,0,146,90,0.618644,1,0.75,1,0.25,0.857143,0.866469,1.15411,0.000039
91,438,0,145,91,0.614407,1,0.751286,1,0.248714,0.857982,0.864985,1.156089,0.000042
92,438,0,144,92,0.610169,1,0.752577,1,0.247423,0.858824,0.863501,1.158076,0.000046
93,438,0,143,93,0.605932,1,0.753873,1,0.246127,0.859666,0.862018,1.160069,0.000046
94,438,0,142,94,0.601695,1,0.755172,1,0.244828,0.860511,0.860534,1.162069,0.000058
95,438,0,141,95,0.597458,1,0.756477,1,0.243523,0.861357,0.85905,1.164076,0.00006
96,438,0,140,96,0.59322,1,0.757785,1,0.242215,0.862205,0.857567,1.16609,0.00007
97,438,0,139,97,0.588983,1,0.759099,1,0.240901,0.863054,0.856083,1.168111,0.00007
98,438,0,138,98,0.584746,1,0.760417,1,0.239583,0.863905,0.854599,1.170139,0.000074
99,438,0,137,99,0.580508,1,0.761739,1,0.238261,0.864758,0.853116,1.172174,0.000079
100,438,0,136,100,0.576271,1,0.763066,1,0.236934,0.865613,0.851632,1.174216,0.00008
101,438,0,135,101,0.572034,1,0.764398,1,0.235602,0.866469,0.850148,1.176265,0.00009
